TimeGenerated [UTC],OperationName,CorrelationId,Region,IsRequestSuccess,Category,TotalTime,CallerIpAddress,Method,Url,ClientProtocol,ResponseCode,BackendMethod,BackendUrl,BackendResponseCode,BackendProtocol,RequestSize,ResponseSize,Cache,BackendTime
"7/30/2024, 4:44:59.049 PM",Microsoft.ApiManagement/GatewayLogs,880ed3f1-05cd-4bfb-a31b-1140092468a0,East US,TRUE,GatewayLogs,956,68.227.33.184,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/8d1d17a9-1abe-20dc-cdd2-a0491b37b3f3/requests,HTTP/1.1,204,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/8d1d17a9-1abe-20dc-cdd2-a0491b37b3f3/requests,204,HTTP/1.1,689,157,none,885
"7/30/2024, 4:45:01.554 PM",Microsoft.ApiManagement/GatewayLogs,c1883ae4-644b-4f5f-9f4f-a5e07bca5caf,East US,FALSE,GatewayLogs,403,72.171.11.36,PUT,https://c2e-prod-devices.azure-api.net/iep/V2/devices/d4dea11c-5c6f-f81d-788f-b694e119fe8a,HTTP/1.1,400,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/V2/devices/d4dea11c-5c6f-f81d-788f-b694e119fe8a,400,HTTP/1.1,667,380,none,6
"7/30/2024, 4:45:02.394 PM",Microsoft.ApiManagement/GatewayLogs,c0650293-0c2c-4291-891a-6a8a33082752,East US,TRUE,GatewayLogs,683,24.51.36.202,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/e3d9d403-6978-959c-724c-8e828de4e75f/requests,HTTP/1.1,200,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/e3d9d403-6978-959c-724c-8e828de4e75f/requests,200,HTTP/1.1,687,2558,none,485
"7/30/2024, 4:45:03.129 PM",Microsoft.ApiManagement/GatewayLogs,1150c714-c692-4ae7-80c1-80fff0e0d271,East US,TRUE,GatewayLogs,104,32.216.141.229,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/bdf4888c-93cb-ba5e-2368-3b7b1732ff43,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/bdf4888c-93cb-ba5e-2368-3b7b1732ff43,201,HTTP/1.1,649,351,none,50
"7/30/2024, 4:45:04.290 PM",Microsoft.ApiManagement/GatewayLogs,a8b87925-fd37-4e50-b489-bcc3478667f3,East US,TRUE,GatewayLogs,172,96.11.127.162,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/19f2aac4-aef2-ccbd-360d-c5decf63eb8f/requests,HTTP/1.1,200,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/19f2aac4-aef2-ccbd-360d-c5decf63eb8f/requests,200,HTTP/1.1,707,184,none,64
"7/30/2024, 4:45:04.129 PM",Microsoft.ApiManagement/GatewayLogs,98c7627b-8802-408a-bc59-263d64d232e2,East US,TRUE,GatewayLogs,449,72.169.71.188,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/63a464a2-3877-8296-d90c-d093d0ea464e,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/63a464a2-3877-8296-d90c-d093d0ea464e,201,HTTP/1.1,656,363,none,67
"7/30/2024, 4:45:04.476 PM",Microsoft.ApiManagement/GatewayLogs,ed351df6-c96f-41a8-aa65-54251d32673f,East US,TRUE,GatewayLogs,464,35.130.214.53,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/ab9586c6-7c92-5c56-2242-cef65eed0d57/requests,HTTP/1.1,204,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/ab9586c6-7c92-5c56-2242-cef65eed0d57/requests,204,HTTP/1.1,690,157,none,226
"7/30/2024, 4:45:04.863 PM",Microsoft.ApiManagement/GatewayLogs,5f7e09d0-c4ad-4feb-b3f8-431876df7a9b,East US,TRUE,GatewayLogs,412,156.44.152.251,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/240ea0bc-74b5-841f-ecba-0dd21e55e999/requests,HTTP/1.1,204,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/240ea0bc-74b5-841f-ecba-0dd21e55e999/requests,204,HTTP/1.1,691,156,none,48
"7/30/2024, 4:45:05.098 PM",Microsoft.ApiManagement/GatewayLogs,cf5e1c90-1ee0-42b5-9a50-ae7366b867b5,East US,TRUE,GatewayLogs,235,108.1.248.43,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/9aa1714a-d17f-e1eb-14de-fbfe0cc64b96/requests,HTTP/1.1,204,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/9aa1714a-d17f-e1eb-14de-fbfe0cc64b96/requests,204,HTTP/1.1,690,156,none,62
"7/30/2024, 4:45:07.711 PM",Microsoft.ApiManagement/GatewayLogs,bc0fe23c-f376-45d9-8e1a-6da7ad267a91,East US,TRUE,GatewayLogs,136,204.74.204.224,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/82639b80-ee95-16ab-a5d7-9c95c8d27f4e,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/82639b80-ee95-16ab-a5d7-9c95c8d27f4e,201,HTTP/1.1,646,363,none,52
